id,Date,number of bedrooms,number of bathrooms,living area,lot area,number of floors,waterfront present,number of views,condition of the house,grade of the house,Area of the house(excluding basement),Area of the basement,Built Year,Number of schools nearby,Distance from the airport,Price
6762813188,42493,3,2.5,2850,7130,2,0,0,3,10,1990,860,1980,1,52,783500
6762813282,42493,2,2.5,2680,7392,1,0,0,3,9,2680,0,2004,2,65,775000
6762815716,42493,4,2,2280,6010,1,0,0,3,7,1140,1140,1900,1,51,628000
6762824246,42493,3,2.5,2200,7350,1,0,0,5,8,1570,630,1988,2,53,365000
6762825730,42493,4,2.5,2530,9933,2,0,2,3,8,2010,520,1990,2,59,331950
6762810164,42494,7,8,13540,307752,3,0,4,3,12,9410,4130,1999,1,55,2280000
6762810615,42494,2,2.5,2220,4000,2,0,0,3,9,2220,0,2000,3,67,1430000
6762810636,42494,5,3.5,4010,8510,2,0,1,5,9,2850,1160,1971,1,50,1400000
6762811248,42494,4,2.5,4340,141570,2.5,0,0,3,11,4340,0,1992,1,73,1090000
6762811411,42494,5,2.75,3190,16920,1,0,3,3,9,1690,1500,1976,1,53,1030000
6762812053,42494,3,1,1330,77972,1,0,0,3,7,1330,0,1928,3,52,900000
6762812148,42494,4,4.25,4420,5750,2,0,0,3,10,3410,1010,2006,1,57,890000
6762812149,42494,5,3.5,4490,6000,2,0,0,3,10,3200,1290,2006,2,70,890000
6762812331,42494,4,3,3690,9892,2,0,0,3,10,3690,0,1998,3,62,865000
6762812415,42494,4,2.75,2600,5390,1,0,0,4,8,1300,1300,1960,2,69,855000
6762812659,42494,4,3,2170,4000,2,0,0,4,9,1610,560,1982,3,73,831000
6762812664,42494,4,2.5,3400,9692,2,0,0,3,9,3400,0,2007,3,58,830000
6762812761,42494,6,1.75,2920,5000,2.5,0,0,4,9,2780,140,1908,3,68,823000
6762812961,42494,5,2.5,3180,13806,2,0,0,4,10,3180,0,1990,1,76,800866
6762812963,42494,3,2.5,3240,7857,2,0,0,3,10,3240,0,1994,3,66,800000
6762813152,42494,3,1.75,1330,7500,1,0,0,3,8,1330,0,1961,3,56,787000
6762813210,42494,4,2.5,2730,10281,2,0,2,3,9,2730,0,1996,3,79,780000
6762813361,42494,3,2,2350,5700,1.5,0,0,4,8,1810,540,1939,1,77,770000
6762813551,42494,4,2.5,2120,10202,1,0,0,4,7,1620,500,1960,2,73,755000
6762813766,42494,4,1.75,2010,3600,1.5,0,0,3,7,2010,0,1902,2,55,740000
6762813838,42494,4,2.5,3180,21904,2,0,3,3,9,3180,0,2000,2,77,736500
6762814206,42494,4,2.5,2450,4247,2,0,0,3,8,2450,0,2013,1,75,712198
6762814291,42494,3,2.5,2490,4343,2,0,0,3,9,2490,0,2003,3,59,705380
6762814896,42494,3,2.5,1680,2000,3,0,0,3,9,1680,0,1909,3,69,670000
6762814966,42494,4,2.5,2800,5900,1,0,0,3,8,1660,1140,1963,2,63,665000
6762815131,42494,4,1,1390,4240,1,0,0,3,7,1050,340,1924,1,68,657100
6762815226,42494,3,1.5,2160,9000,1,0,2,4,8,1400,760,1949,2,75,650000
6762815643,42494,4,2.5,2440,6651,2,0,0,3,9,2440,0,2014,2,77,631625
6762815727,42494,4,2.25,1990,7712,1,0,0,3,8,1210,780,1973,3,61,627000
6762815880,42494,3,1.75,1480,2185,2.5,0,0,3,9,1480,0,2005,2,52,620000
6762815955,42494,3,2,1800,5000,1,0,0,4,7,1080,720,1942,1,69,618500
6762815987,42494,4,1.75,2300,11700,1,0,0,4,9,1960,340,1977,3,50,615000
6762816274,42494,3,1.75,1670,39639,1,0,0,4,8,1670,0,1976,1,77,600000
6762816275,42494,3,1.75,1880,6360,1,0,0,4,7,1040,840,1945,2,57,600000
6762816667,42494,2,1,1770,8640,1.5,0,0,3,6,1520,250,1949,3,77,585000
6762816779,42494,2,1,2540,7000,1,0,0,5,8,1320,1220,1942,3,77,580000
6762817053,42494,3,2.25,2010,6000,1,0,0,3,8,1330,680,1975,2,78,570000
6762817314,42494,3,2.5,1900,8744,2,0,0,3,8,1900,0,1987,2,58,560000
6762817450,42494,3,2.5,1940,3211,2,0,0,3,8,1940,0,2009,3,60,555000
6762817755,42494,2,1,1140,5400,1,0,0,5,7,1140,0,1908,1,68,549000
6762817756,42494,4,2.5,2910,6338,2,0,0,3,8,2910,0,2008,3,54,549000
6762817929,42494,5,2.75,2740,8426,1,0,0,4,8,1370,1370,1960,1,69,541125
6762818230,42494,2,3,1270,1175,2,0,0,3,8,1110,160,2000,1,71,531000
6762818400,42494,5,1.75,2550,71874,1,0,0,5,7,1810,740,1960,2,65,525888
6762818543,42494,3,1.75,1560,5520,1,0,0,4,6,780,780,1944,3,70,524000
6762818924,42494,3,2.5,1790,2700,2,0,0,3,8,1790,0,2010,1,79,509900
6762819061,42494,4,1,2070,7519,1,0,0,3,7,1160,910,1963,2,56,501000
6762819262,42494,4,2.5,2910,6479,2,0,0,3,7,2910,0,2006,1,50,499000
6762819312,42494,6,2.75,3200,9200,1,0,2,4,8,1600,1600,1953,2,56,497300
6762819594,42494,4,1.75,2010,9211,1,0,0,3,7,1470,540,1977,3,62,487585
6762819620,42494,4,3,2340,7048,1,0,0,4,8,1340,1000,1979,1,53,485000
6762819874,42494,3,2.5,3040,4535,2,0,0,3,9,3040,0,2007,2,79,478000
6762820970,42494,4,2,1480,3844,1.5,0,0,5,7,1480,0,1928,1,73,449250
6762821445,42494,5,2,1840,9240,1,0,0,4,7,1540,300,1942,3,78,435000
6762822174,42494,2,2.5,1590,1426,2,0,0,3,8,1590,0,2014,2,80,419190
6762822204,42494,3,2,1410,6030,1.5,0,0,4,7,1410,0,1930,2,51,418000
6762822246,42494,3,2.5,1408,989,3,0,0,3,8,1408,0,2005,1,64,416286
6762822266,42494,3,2.25,1620,998,2.5,0,0,3,8,1540,80,2010,3,59,415000
6762822453,42494,3,2.25,1800,36704,1,0,0,4,8,1360,440,1978,1,74,410000
6762822604,42494,3,2.25,1410,1332,3,0,0,3,8,1410,0,2005,2,70,406100
6762822620,42494,2,3,1410,1240,2,0,0,3,8,1140,270,2006,3,74,405000
6762822792,42494,2,1.75,2110,9519,1,0,0,2,7,2110,0,1948,2,77,400000
6762822793,42494,2,1,840,5510,1,0,0,3,7,840,0,1955,2,79,400000
6762823019,42494,3,2.5,2230,4000,2,0,0,3,7,2230,0,1954,3,78,398750
6762823544,42494,5,2.5,3090,12750,1,0,0,3,8,1750,1340,1968,2,63,384900
6762823717,42494,4,1.75,1970,9389,1,0,0,5,7,1140,830,1960,1,72,379950
6762824223,42494,3,3,1571,10800,3,0,0,3,8,1571,0,2008,1,62,366750
6762825311,42494,5,1,1120,9022,1.5,0,0,4,7,1120,0,1962,3,69,340000
6762825312,42494,2,1.5,1160,1438,2,0,0,3,7,1160,0,2001,1,72,340000
6762825869,42494,2,1,1140,5250,1.5,0,0,4,6,1140,0,1949,2,65,329950
6762825928,42494,4,2.5,2370,6500,2,0,0,3,9,2370,0,1998,3,60,328000
6762826775,42494,4,2.75,2310,5000,2,0,0,3,7,2310,0,2006,3,68,309950
6762826776,42494,3,2.5,1880,7838,2,0,0,3,7,1880,0,1994,3,52,309950
6762827057,42494,3,2,1050,10072,1,0,0,3,7,1050,0,1986,3,56,300000
6762827694,42494,3,1,1450,6000,1,0,0,4,7,1450,0,1953,2,61,287000
6762829320,42494,3,2,1550,15040,1,0,0,4,6,1550,0,1958,3,65,249950
6762829453,42494,3,1.75,1920,9306,1,0,0,3,7,1000,920,1984,3,54,245000
6762829917,42494,2,1,1200,8063,1,0,0,4,6,1200,0,1958,2,56,232000
6762830263,42494,4,1.5,1240,9600,1,0,0,3,7,1240,0,1971,1,52,220000
6762830332,42494,4,1.5,1120,5427,1,0,0,3,6,1120,0,1969,3,77,219900
6762830530,42494,3,1,1340,306848,1,0,0,3,5,1340,0,1953,1,58,210000
6762830531,42494,5,2,2050,10200,1,0,0,3,6,1430,620,1956,1,73,210000
6762830664,42494,2,1,810,7158,1,0,0,5,6,810,0,1944,2,75,206000
6762831089,42494,3,1.75,1490,10125,1,0,0,4,7,1490,0,1962,1,55,184000
6762810285,42495,5,4,4510,15175,2,0,0,3,10,4510,0,1969,1,65,1870000
6762810310,42495,5,5,4490,10279,2,0,0,3,10,3930,560,2013,1,68,1800000
6762810471,42495,4,3.25,3760,10920,1.5,0,0,5,9,2400,1360,1950,3,62,1580000
6762810939,42495,4,2.25,3490,6906,2,0,0,4,10,2280,1210,1928,1,61,1230000
6762811141,42495,4,2.75,3370,8103,1,0,3,3,9,1970,1400,1970,2,60,1140000
6762811335,42495,3,2.5,2200,1970,2,0,0,3,9,1610,590,2008,3,65,1050000
6762811613,42495,3,2.5,2690,4047,3,0,0,3,10,2690,0,2014,1,65,979000
6762811999,42495,3,3.5,3020,4082,2,0,0,3,9,2080,940,1954,1,60,910000
6762812370,42495,4,2,3740,32417,2,0,0,3,9,3740,0,2000,2,73,860000
6762813278,42495,4,2.5,3040,6425,2,0,0,3,8,3040,0,2008,2,57,776000
6762813464,42495,4,2.5,3880,14550,2,0,0,3,10,3880,0,1987,3,55,762300
6762813840,42495,4,2.5,2290,12047,2,0,0,4,9,2290,0,1988,1,50,736000
6762813978,42495,4,2.5,3200,12369,2,0,0,3,10,3200,0,1998,2,61,725126
6762814626,42495,4,2.5,3030,7864,2,0,0,3,9,3030,0,1999,3,74,685000
6762814788,42495,2,1,930,36478,1,0,2,3,6,930,0,1951,3,79,675000
6762815143,42495,4,3.5,3380,8330,2,0,0,3,8,3380,0,2000,2,76,655500
6762815227,42495,3,1.5,1630,7475,1,0,1,3,7,1160,470,1940,1,65,650000
6762815228,42495,5,3.5,3480,36615,2,0,0,4,8,2490,990,1983,3,66,650000
6762816060,42495,4,2,2060,5000,1,0,0,3,7,1030,1030,1949,1,66,612500
6762816083,42495,4,3,2450,10117,1,0,0,5,8,1580,870,1967,2,78,610000
6762816134,42495,4,2.5,2150,37981,2,0,0,3,9,2150,0,1985,2,69,609000
6762816173,42495,4,2.5,2110,13850,2,0,0,3,9,2110,0,1987,2,50,606000
6762816405,42495,4,2.25,2260,29930,2,0,0,4,8,1400,860,1977,3,58,599000
6762816780,42495,4,3.25,3569,8327,2,0,0,3,10,3569,0,2013,1,69,580000
6762816917,42495,3,1.75,2130,6500,1,0,2,3,8,1170,960,1954,3,58,575000
6762817272,42495,4,3,3100,15480,2,0,0,3,8,2400,700,1996,2,67,563000
6762817288,42495,5,2.25,3040,8111,2,0,0,3,8,3040,0,1984,3,72,562000
6762817305,42495,3,2,2000,5500,2,0,0,3,7,2000,0,1916,2,62,561000
6762818108,42495,3,2.5,1850,10109,2,0,0,3,8,1850,0,1991,3,56,535000
6762818202,42495,5,2.75,1800,3780,1.5,0,0,3,7,1400,400,1926,1,79,533000
6762818237,42495,5,2.5,2910,5133,1,0,0,4,7,1690,1220,1964,3,54,530000
6762818403,42495,3,2.5,2970,11985,1,0,0,3,9,1770,1200,1995,3,70,525000
6762818591,42495,3,2.5,2460,54885,2,0,0,4,8,2460,0,1980,1,77,520000
6762818667,42495,3,1.5,1430,8000,1,0,0,4,7,1430,0,1956,2,78,518000
6762818718,42495,3,2.5,1790,7167,2,0,0,3,8,1790,0,1989,3,71,515000
6762818810,42495,4,2.5,2000,5684,2,0,0,3,8,2000,0,1996,3,72,513000
6762819071,42495,3,2.5,1480,1171,3,0,0,3,8,1480,0,2006,1,56,500000
6762819263,42495,2,1.75,1170,2400,1,0,0,4,7,740,430,1903,1,54,499000
6762819584,42495,5,2,2020,5000,1.5,0,0,4,7,2020,0,1938,1,57,488000
6762819621,42495,3,2,1420,4080,1.5,0,0,3,7,1420,0,1905,2,55,485000
6762819707,42495,2,1.75,1660,6000,1,0,0,3,7,1160,500,1942,2,76,484000
6762819714,42495,4,2.5,2740,45732,2,0,0,3,8,2740,0,1995,2,70,483500
6762819923,42495,6,3,3470,117612,1.5,0,0,3,7,3470,0,1924,3,65,475000
6762820190,42495,2,1,1030,4400,1,0,0,3,7,1030,0,1924,2,61,469000
6762820263,42495,3,2.25,1970,11088,1,0,0,4,8,1180,790,1967,3,56,465000
6762820431,42495,2,2.25,1230,929,2,0,0,3,8,1020,210,2004,2,73,460000
6762820605,42495,5,2.5,2240,7770,1,0,0,3,7,1340,900,1978,2,52,455000
6762820766,42495,2,2,1100,3000,1.5,0,0,3,7,1100,0,1912,3,70,450000
6762821835,42495,4,2,1520,7983,1,0,0,5,7,1520,0,1967,1,60,425000
6762822588,42495,4,2.25,2810,23400,1,0,1,3,7,1710,1100,1958,1,71,407000
6762822705,42495,4,1.75,1840,10720,1,0,0,3,7,960,880,1958,1,64,404000
6762823058,42495,4,2,1440,7680,1,0,0,3,7,1200,240,1971,3,66,397000
6762823244,42495,3,1.75,1260,6500,1,0,0,4,7,1260,0,1966,3,51,390000
6762823245,42495,5,3.75,2890,5000,1,0,0,3,7,1310,1580,2006,1,72,390000
6762823419,42495,3,1,1230,9568,1,0,0,5,7,1230,0,1962,2,56,387000
6762823456,42495,3,1.75,1900,5520,1,0,0,3,7,1280,620,1982,3,50,385000
6762823727,42495,4,1.75,1500,11600,1,0,0,4,7,1000,500,1955,2,65,379900
6762824138,42495,3,2,1270,1320,3,0,0,3,8,1270,0,2006,2,59,369950
6762824202,42495,3,1.5,1410,9647,1,0,0,3,8,1410,0,1961,2,78,367500
6762824247,42495,3,1.5,1310,8160,1,0,0,3,7,1310,0,1950,1,69,365000
6762824373,42495,3,2.25,1640,14374,1,0,0,4,7,1140,500,1963,2,70,362000
6762824403,42495,4,2,2680,18768,1,0,0,5,8,2680,0,1965,1,54,360000
6762824756,42495,3,1,1350,7740,1,0,0,4,6,860,490,1947,2,64,353000
6762825130,42495,4,2.5,2331,3826,2,0,0,3,8,2331,0,2007,2,65,345000
6762825131,42495,3,1,1110,6250,1,0,0,3,7,1110,0,1956,3,61,345000
6762825904,42495,2,1,720,6687,1,0,0,3,6,720,0,1942,2,53,329350
6762825992,42495,4,2.5,1890,12040,1,0,0,3,7,980,910,1980,1,78,325000
6762826596,42495,3,1,1510,6083,1,0,0,4,6,860,650,1940,2,73,313950
6762826630,42495,4,2,1300,7054,1,0,0,3,7,1300,0,1950,1,64,312000
6762827348,42495,3,2.25,1980,8000,1,0,0,4,9,1560,420,1974,3,51,295000
6762827837,42495,4,2.5,2000,5390,2,0,0,3,7,2000,0,2003,3,73,284000
6762827916,42495,3,1.75,1630,11800,1,0,0,4,7,1630,0,1971,2,75,280000
6762828037,42495,3,1.75,1580,8151,1,0,1,4,7,1100,480,1962,3,79,279900
6762828331,42495,3,2.5,1650,13816,2,0,0,3,7,1650,0,1998,1,61,272000
6762829190,42495,3,1,1050,6874,1,0,0,3,6,1050,0,1954,3,53,250000
6762829881,42495,3,1.75,1490,8366,1,0,0,4,7,1010,480,1975,1,74,234000
6762830340,42495,2,1,900,5160,1,0,0,3,6,900,0,1952,2,68,219000
6762830360,42495,3,1.75,1850,7684,1,0,0,3,8,1320,530,1979,2,55,218000
6762830890,42495,3,1.75,1690,7735,1,0,0,4,7,1060,630,1976,2,52,197000
6762830971,42495,3,1.5,800,8850,1,0,0,4,6,800,0,1959,2,50,191000
6762831182,42495,3,1,1010,7034,1,0,0,3,7,1010,0,1954,1,50,175000
6762831495,42495,3,1.5,1420,8580,1,0,0,3,6,1420,0,1962,1,71,136500
6762831616,42495,2,1,780,16344,1,0,0,1,5,780,0,1942,2,51,78000
6762810052,42496,7,4.5,6210,8856,2.5,0,2,5,11,4760,1450,1910,1,64,3200000
6762810519,42496,5,4.5,4270,8076,2,0,0,3,11,3400,870,2007,2,72,1530000
6762810536,42496,6,2.5,3560,6480,2.5,0,0,4,11,3560,0,1914,2,66,1500000
6762810736,42496,3,3,2960,5500,2,0,2,3,10,2440,520,1937,3,80,1340000
6762811104,42496,4,4,4460,103382,2,0,0,3,11,4460,0,2001,3,77,1150000
6762811190,42496,4,1.5,2310,13300,1,0,0,3,7,1890,420,1950,2,61,1110000
6762811389,42496,4,3.5,3900,8391,2,0,0,3,10,3900,0,2006,2,73,1040000
6762811814,42496,4,2.25,1890,5940,1,0,1,3,9,1470,420,1963,1,62,940000
6762812054,42496,5,3.75,4130,226076,2,0,0,3,9,3170,960,1985,3,55,900000
6762813091,42496,4,2,2210,8556,1,0,1,4,8,1210,1000,1954,1,65,794154
6762813283,42496,3,2,2540,7200,1.5,0,3,4,8,1600,940,1905,2,72,775000
6762813540,42496,4,2.75,2410,9549,1,0,0,4,7,1780,630,1956,2,63,758000
6762813601,42496,3,2.75,2520,23790,1,0,0,4,7,1360,1160,1946,2,80,750000
6762813688,42496,4,2.75,2600,6050,2,0,0,5,8,1960,640,1949,2,78,749950
6762814292,42496,4,2.5,2650,4316,1.5,0,0,3,8,1520,1130,1905,3,53,705000
6762814540,42496,3,2,1760,6428,1,0,0,4,7,980,780,1942,3,74,690000
6762814789,42496,3,1.75,1680,10500,1,0,0,4,8,1680,0,1959,2,70,675000
6762814790,42496,4,4,3680,18804,2,0,0,3,10,3680,0,1990,2,79,675000
6762815215,42496,3,2.5,3240,108366,2,0,0,4,10,3240,0,1991,2,71,651000
6762815462,42496,3,3,2270,5175,2,0,0,3,9,2130,140,2002,1,62,640000
6762815655,42496,3,2.5,2680,327135,2,0,0,3,8,2680,0,1995,1,55,630000
6762815656,42496,2,2.25,2550,5663,1,0,0,3,10,1720,830,2011,3,80,630000
6762815957,42496,3,2.5,2030,6500,2,0,0,3,8,2030,0,1988,1,66,618080
6762816079,42496,3,3,1680,1570,3,0,0,3,8,1680,0,2014,3,62,610950
6762816276,42496,3,2.5,2460,108900,1,0,0,4,9,1860,600,1977,1,55,600000
6762816384,42496,9,4.5,3830,6988,2.5,0,0,3,7,2450,1380,1938,1,62,599999
6762816406,42496,3,1.75,1960,4788,1,0,0,4,7,1090,870,1920,2,66,599000
6762816769,42496,4,2,2510,13695,1,0,0,4,7,1280,1230,1961,2,74,581000
6762816918,42496,4,2,1650,5000,1,0,0,3,7,1650,0,1955,3,53,575000
6762817146,42496,3,2,2350,5080,1.5,0,0,3,8,1780,570,1929,1,65,568000
6762817315,42496,3,3,4120,60392,2,0,2,3,9,3180,940,1994,3,51,560000
6762817316,42496,3,2,1860,13374,1,0,0,3,8,1860,0,1985,3,57,560000
6762817937,42496,7,5.75,3700,7647,2,0,1,3,8,3700,0,1948,1,65,540000
6762818109,42496,3,1.75,2720,149410,1.5,0,0,3,9,2720,0,1988,1,58,535000
6762818110,42496,3,2.5,2280,2289,2,0,0,3,8,1880,400,2006,3,65,535000
6762818238,42496,3,1,1340,4284,1,0,0,3,7,1080,260,1910,2,71,530000
6762818388,42496,2,2,1550,2400,1.5,0,0,4,7,1550,0,1900,3,66,526000
6762818648,42496,3,2.25,1170,1249,3,0,0,3,8,1170,0,2014,3,59,519950
6762818719,42496,3,1.75,1580,9147,1,0,1,4,7,1210,370,1967,3,62,515000
6762818846,42496,4,2.5,2430,5203,2,0,0,3,8,2430,0,2003,3,58,510000
6762819032,42496,3,2.75,1540,6760,1,0,0,5,7,1210,330,1980,3,67,503000
6762819072,42496,2,1,1010,3885,1.5,0,0,4,7,1010,0,1906,1,65,500000
6762819073,42496,3,2.5,1940,37565,1,0,0,4,8,1940,0,1987,1,69,500000
6762819343,42496,3,1,990,6000,1,0,0,3,6,990,0,1943,1,57,495000
6762819344,42496,4,2.75,2656,21195,2,0,0,3,9,2656,0,2014,1,72,495000
6762819436,42496,4,2.5,3305,16164,1.5,0,0,5,7,2245,1060,1922,1,58,492000
6762819622,42496,3,2,1610,4160,1,0,0,4,7,1010,600,1917,2,70,485000
6762819760,42496,4,2.5,2180,11200,1,0,0,4,8,2180,0,1968,1,76,480500
6762819924,42496,2,1,820,2723,1,0,0,3,7,820,0,1921,1,80,475000
6762820432,42496,3,2,1760,9055,2,0,0,4,7,1760,0,1985,2,61,460000
6762821207,42496,3,1.75,1500,6180,1,0,0,4,6,1060,440,1947,3,68,440000
6762821771,42496,2,2,1350,3900,1,0,0,3,8,1350,0,2003,1,80,428000
6762821836,42496,2,2.5,1150,1027,3,0,0,3,8,1150,0,2008,2,61,425000
6762822055,42496,2,1.5,1040,3500,1.5,0,0,4,6,1040,0,1904,2,72,420000
6762822056,42496,3,2.25,1770,8165,2,0,0,3,7,1770,0,1977,2,73,420000
6762822226,42496,3,2.25,1606,1452,3,0,0,3,8,1606,0,2009,2,71,417250
6762822267,42496,4,3,1830,9548,2,0,0,3,7,1830,0,1991,1,66,415000
6762822547,42496,4,2.75,2140,13000,1,0,0,3,7,1320,820,1968,3,67,409500
6762822621,42496,3,2.25,1660,8307,1,0,0,4,8,1660,0,1961,3,74,405000
6762823625,42496,5,1.75,3000,6000,1,0,0,5,7,1500,1500,1958,1,66,380000
6762823740,42496,2,1,1640,17335,1,0,0,3,7,840,800,1978,3,66,379500
6762823823,42496,3,2.5,1830,13042,2,0,0,3,8,1830,0,1990,1,50,375000
6762824248,42496,5,2.75,2410,5003,1,0,0,3,7,1410,1000,2008,3,78,365000
6762824389,42496,2,1,820,6400,1,0,0,4,7,820,0,1944,2,66,361280
6762824800,42496,5,2.5,2420,8560,1,0,2,3,7,1620,800,1978,2,55,352000
6762824831,42496,3,1,1010,9360,1,0,0,3,6,1010,0,1981,1,67,350000
6762825419,42496,3,2.25,1630,12295,2,0,0,4,7,1630,0,1985,2,59,339950
